Count,Latitude,Longitude,사업장명,업태구분명
203,37.6399359,127.0642574,건영옴니백화점,백화점
204,37.6597835,127.0691598,노원아이파크 상가,그 밖의 대규모점포
205,37.6484228,127.076924,유경데파트,그 밖의 대규모점포
206,37.6273402,127.0618582,이마트타운 월계점,쇼핑센터
207,37.6552506,127.0640789,와우패션클럽,그 밖의 대규모점포
208,37.6413039,127.0679877,홈플러스(주) 중계점,복합쇼핑몰
209,37.6802689,127.0548694,오피앙,그 밖의 대규모점포
210,37.5862554,126.8888623,수일시장,그 밖의 대규모점포
211,37.609721,126.9290038,팜스퀘어,쇼핑센터
212,37.4981534,126.8530505,개봉제일시장,그 밖의 대규모점포
213,37.6193901,126.9217921,연서시장,그 밖의 대규모점포
214,37.6187583,126.9222119,롯데쇼핑(주)롯데슈퍼범서점,그 밖의 대규모점포
215,37.5940913,126.9188943,응암시장,그 밖의 대규모점포
216,37.6149286,126.9283096,불광미성상가,그 밖의 대규모점포
217,37.6150309,126.9100044,홈플러스 익스프레스 갈현점,그 밖의 대규모점포
218,37.6187583,126.9222119,범서쇼핑,쇼핑센터
219,37.6093001,126.9079597,현대화유통기업(주),대형마트
220,37.5862554,126.8888623,(주)미소종합유통,대형마트
221,37.6140986,126.9327924,대호프라자상가,그 밖의 대규모점포
222,37.5982901,126.9106136,홈플러스(주)익스프레스 신사점,그 밖의 대규모점포
223,37.6095021,126.9286815,대조시장,그 밖의 대규모점포
224,37.6095021,126.9286815,불광시장(주),그 밖의 대규모점포
225,37.6352089,126.9212708,롯데몰 은평,쇼핑센터
226,37.6031933,126.9193598,서부종합시장,그 밖의 대규모점포
227,37.5862554,126.8888623,(주)이마트 수색점,대형마트
228,37.5999982,126.9201046,(주)이마트 은평점,대형마트
229,37.6156442,126.9323398,홈플러스(주)익스프레스 불광점,그 밖의 대규모점포
230,37.5603128,126.9429425,신촌 밀리오레,그 밖의 대규모점포
231,37.5576408,126.9449226,예스에이피엠,그 밖의 대규모점포
232,37.4962484,127.0287983,진솔물산,그 밖의 대규모점포
233,37.5627439,126.9214088,홈플러스익스프레스 연남점,복합쇼핑몰
234,37.5459559,126.9326819,롯데슈퍼 마포점,그 밖의 대규모점포
235,37.5566535,126.9281262,AK PLAZA 홍대,쇼핑센터
236,37.5555128,126.9362405,현대백화점 신촌점,백화점
237,37.5424437,126.9533649,(주)이마트 마포점,대형마트
238,37.5540734,126.897299,성산프라자(마포영화블렌하임),그 밖의 대규모점포
239,37.5465933,126.9318228,마포종합시장(서강한화오벨리스크),그 밖의 대규모점포
240,37.5424268,126.9533694,(주)이마트 마포점,대형마트
241,37.5509344,126.9137824,홈플러스 합정점,대형마트
242,37.5690163,126.8978969,홈플러스(주)월드컵점,대형마트
243,37.5377841,126.9517874,홈플러스익스프레스 도화점,그 밖의 대규모점포
244,37.5546435,126.9353173,정도진흥기업(주),그 밖의 대규모점포
245,37.5566535,126.9281262,홍대복합역사 상업시설,쇼핑센터
246,37.509706,126.8432621,롯데프레시 신정점,그 밖의 대규모점포
247,37.5382114,126.866754,목동시장아울렛,그 밖의 대규모점포
248,37.5490258,126.8644851,신한이모르젠상가,그 밖의 대규모점포
249,37.5397561,126.8287684,(주)이마트 신월점,백화점
250,37.5295038,126.8751635,행복한백화점,백화점
251,37.5083684,126.8642533,신정동세양청마루2차상가,그 밖의 대규모점포
252,37.5268539,126.8750349,현대백화점목동점,백화점
253,37.5276896,126.8875593,목동에버하임,그 밖의 대규모점포
254,37.5276896,126.8875593,목동에버하임,그 밖의 대규모점포
255,37.5438889,126.8353089,롯데쇼핑(주)롯데슈퍼화곡3동점,그 밖의 대규모점포
256,37.5438889,126.8353089,홈플러스(주) 익스프레스 화곡점,그 밖의 대규모점포
257,37.5733954,126.8108847,삼정프라자,그 밖의 대규모점포
258,37.5422389,126.8578399,강서 뉴타워,그 밖의 대규모점포
259,37.5510029,126.8732302,(주)지에스리테일 염창점,그 밖의 대규모점포
260,37.5506553,126.8357968,송화시장,그 밖의 대규모점포
261,37.5507984,126.871766,스페이스프라자,그 밖의 대규모점포
262,37.5468496,126.8488901,홈플러스익스프레스 화곡2점,그 밖의 대규모점포
263,37.5649531,126.8478633,홈플러스(주) 가양점,대형마트
264,37.5020155,126.851164,개봉프라자,그 밖의 대규모점포
265,37.5037004,126.8750357,라이프공구종합상가,그 밖의 대규모점포
266,37.5028455,126.8636455,고척시장,그 밖의 대규모점포
267,37.4891434,126.8921869,배영설비(주),그 밖의 대규모점포
268,37.4981827,126.8615411,고척산업용품상가,그 밖의 대규모점포
269,37.4951408,126.8783443,사모아종합상가,그 밖의 대규모점포
270,37.5047743,126.8783244,서울구로기계공구상가,그 밖의 대규모점포
271,37.5008848,126.8773525,공구상가일번지,그 밖의 대규모점포
272,37.4972698,126.8625548,일이삼전자타운,그 밖의 대규모점포
273,37.5009037,126.874586,중앙유통단지,그 밖의 대규모점포
274,37.5093957,126.8877258,홈플러스(주) 신도림점,대형마트
275,37.5047743,126.8783244,서울구로기계공구상가,그 밖의 대규모점포
